Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,PME
1.744875944,1.809202354,17.67061859,20.8469745,139.8272534,36.5981241,2.683341428
6.995603693,4.513854222,21.33464808,34.7313666,136.1526998,40.30252271,2.281447305
7.229226038,5.455563597,23.77833844,36.65197884,172.4088744,42.22932954,2.113890238
7.766509661,5.681067053,22.25916296,36.81529562,148.6592309,42.30551627,1.94511899
7.531633483,4.912050398,23.3810022,39.29787346,175.9917831,41.02973169,2.413793103
3.640188523,2.395768004,22.94166886,28.26466436,189.8325777,38.2441577,2.424720738
7.512723689,6.161148657,27.10766805,36.1766419,199.0324329,44.79309648,2.032540068
2.836452539,3.902322003,24.41792951,27.38948036,198.1749395,45.02214204,2.342156387
4.966289105,2.734655054,31.34050169,24.81218844,236.2994316,29.79437229,2.572850898
22.30298749,16.69358758,52.37677256,71.1328298,352.6102803,58.42928216,2.300631374
3.674743214,2.892589963,13.82101537,28.30356343,87.1907861,29.84441301,2.082321515
2.594848619,3.8718931,14.95470045,35.65168505,61.69882671,41.4022752,1.290675085
1.831395989,2.006834591,12.32993299,25.66710532,44.90053904,30.81470684,2.639630889
2.797088586,2.540005524,11.9928126,27.26750861,49.96708956,36.68443497,2.340942205
3.825611038,2.381547583,15.16293276,28.4044619,64.03511049,47.50598967,2.266877125
3.284887831,3.724781502,13.0376067,38.09284557,46.43675225,59.42094313,2.767119961
1.534231317,1.483805138,11.5857015,22.04084921,45.25687757,39.61706186,2.415007285
0.200242718,3.908995081,17.16765874,36.30077787,67.25758331,41.78571429,3.122875182
0.392651744,4.531073747,18.83774269,28.08493057,73.21468334,31.20709283,3.563623118
0.338820167,3.388851037,17.12352722,26.4325733,58.80182632,35.17041334,2.699125789
0.135185824,3.024698184,23.3587282,18.05065471,70.51021538,41.94959017,2.570422535
0.333426015,7.413943549,20.12512658,29.84749397,74.14528195,43.40336028,1.515298689
0.201248963,7.768992538,13.38674775,45.49541137,43.75139543,77.88944724,1.786061195
3.018734449,7.592424526,13.30448202,48.86142033,37.09903608,55.63531945,1.594220495
